rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,rssi_58,rssi_59,rssi_60,rssi_61,rssi_62,rssi_63,rssi_64,rssi_65,rssi_66,rssi_67,rssi_68,rssi_69,rssi_70,rssi_71,rssi_72,rssi_73,rssi_74,rssi_75,rssi_76,rssi_77,rssi_78,rssi_79,rssi_80,rssi_81,rssi_82,rssi_83,rssi_84,rssi_85,rssi_86,rssi_87,rssi_88,rssi_89,rssi_90,rssi_91,rssi_92,rssi_93,rssi_94,rssi_95,rssi_96,rssi_97,rssi_98,rssi_99,x,y,floor
-32,-39,-47,-48,-48,-49,-51,-52,-54,-56,-57,-58,-58,-58,-59,-59,-59,-59,-60,-60,-60,-61,-61,-61,-61,-61,-61,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,-63,-64,-64,-66,-66,-67,-67,-67,-67,-68,-68,-68,-68,-68,-68,-69,-70,-70,-71,-72,-72,-73,-73,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-77,-77,-77,-77,-77,-77,-78,-78,-78,-78,-78,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,107.85044,161.89262,0
-29,-34,-47,-48,-48,-49,-52,-52,-52,-53,-53,-53,-54,-54,-57,-57,-58,-58,-58,-59,-59,-59,-59,-60,-60,-60,-60,-61,-62,-62,-62,-63,-63,-63,-63,-63,-63,-64,-64,-64,-64,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-67,-67,-67,-67,-68,-68,-68,-68,-69,-69,-70,-71,-71,-71,-71,-72,-73,-74,-74,-74,-75,-75,-76,-76,-76,-77,-77,-77,-77,-78,-78,-78,-78,-78,-78,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-79,-80,-80,107.85044,161.89262,0
-33,-39,-48,-48,-49,-52,-54,-55,-55,-55,-55,-55,-55,-56,-56,-56,-56,-56,-56,-56,-57,-57,-57,-58,-58,-58,-59,-59,-59,-59,-59,-60,-60,-60,-60,-61,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-64,-64,-66,-67,-67,-67,-67,-67,-68,-68,-68,-68,-68,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-71,-71,-71,-72,-74,-75,-76,-76,-76,-76,-77,-77,-77,-77,-77,-77,-77,-78,-78,-78,-78,98.33065,163.34334,0
-46,-48,-49,-50,-51,-52,-54,-56,-57,-57,-57,-57,-57,-57,-57,-58,-58,-58,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-60,-60,-60,-60,-60,-60,-60,-61,-61,-62,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,-63,-63,-64,-64,-64,-64,-64,-65,-66,-66,-66,-67,-67,-67,-67,-68,-68,-68,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-71,-71,-71,-71,-72,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-76,-76,-77,-77,98.33065,163.34334,0
-42,-49,-51,-51,-52,-53,-54,-55,-55,-55,-55,-56,-56,-57,-57,-57,-57,-57,-57,-57,-57,-58,-58,-58,-58,-59,-59,-59,-59,-59,-59,-59,-59,-59,-60,-60,-60,-60,-61,-61,-61,-61,-62,-62,-62,-63,-63,-64,-64,-64,-65,-65,-65,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-71,-72,-73,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-76,-76,-77,-77,98.33065,163.34334,0
-46,-46,-46,-46,-46,-47,-52,-52,-52,-52,-52,-53,-54,-58,-59,-59,-59,-59,-60,-60,-60,-60,-60,-60,-60,-60,-61,-61,-63,-64,-64,-64,-64,-64,-65,-65,-65,-65,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-68,-69,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-72,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-76,-77,-77,-77,-77,-77,-78,-78,-78,-78,-78,156.77786,173.89334,0
-45,-45,-45,-45,-45,-46,-53,-54,-55,-55,-55,-55,-56,-58,-60,-60,-61,-61,-61,-61,-61,-61,-62,-63,-63,-63,-63,-64,-64,-64,-65,-65,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-69,-69,-69,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-72,-73,-73,-73,-73,-73,-73,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,156.77786,173.89334,0
-46,-47,-47,-47,-47,-48,-52,-52,-52,-53,-53,-53,-56,-59,-60,-61,-61,-61,-61,-61,-62,-62,-63,-63,-63,-63,-64,-64,-64,-64,-64,-64,-64,-65,-66,-66,-66,-66,-66,-66,-67,-67,-67,-68,-68,-68,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-73,-73,-73,-73,-74,-74,-74,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,156.77786,173.89334,0
-46,-54,-56,-56,-56,-56,-57,-58,-58,-58,-58,-59,-59,-59,-59,-59,-60,-61,-61,-61,-62,-62,-62,-62,-62,-63,-64,-64,-64,-64,-64,-64,-65,-65,-65,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-67,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-69,-69,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-73,-73,-74,-74,-74,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-76,-76,-77,-77,-77,154.9924,166.00981,0
-46,-55,-55,-55,-55,-55,-55,-56,-58,-58,-59,-59,-59,-59,-60,-60,-60,-60,-60,-60,-61,-61,-62,-64,-65,-65,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-76,-76,-76,-77,-77,-77,-77,-77,154.9924,166.00981,0
-46,-54,-54,-54,-55,-58,-58,-61,-62,-62,-62,-62,-63,-63,-63,-63,-64,-64,-65,-65,-65,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-68,-68,-68,-68,-68,-68,-68,-69,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,154.9924,166.00981,0
-46,-57,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-59,-59,-59,-59,-59,-59,-59,-60,-61,-63,-63,-64,-64,-64,-64,-64,-64,-64,-64,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-68,-69,-69,-69,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,154.9924,166.00981,0
-53,-54,-55,-55,-55,-56,-56,-56,-57,-57,-57,-57,-57,-57,-58,-58,-58,-59,-59,-59,-59,-59,-59,-60,-60,-60,-61,-63,-64,-64,-64,-64,-65,-65,-65,-66,-66,-67,-67,-68,-68,-68,-68,-69,-69,-69,-69,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,-74,-74,-75,-75,-75,-75,-75,-75,-75,-75,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-77,154.9924,166.00981,0
-52,-52,-52,-53,-54,-56,-57,-58,-59,-59,-59,-62,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,-64,-64,-64,-64,-65,-65,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-68,-68,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-73,-73,-73,-74,-74,160.7603,164.57616,0
-51,-57,-58,-58,-58,-59,-60,-60,-60,-61,-61,-61,-63,-63,-63,-63,-63,-63,-63,-63,-64,-64,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,160.7603,164.57616,0
-52,-55,-57,-57,-58,-58,-58,-58,-58,-59,-59,-59,-59,-60,-60,-60,-60,-60,-60,-60,-60,-61,-61,-61,-61,-62,-62,-62,-62,-62,-63,-63,-63,-63,-64,-64,-64,-64,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,160.7603,164.57616,0
-52,-56,-58,-59,-59,-59,-59,-59,-59,-60,-60,-60,-61,-61,-61,-61,-61,-61,-61,-62,-62,-62,-62,-62,-62,-62,-62,-63,-64,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-67,-67,-67,-68,-68,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,160.7603,164.57616,0
-52,-53,-53,-53,-53,-53,-57,-57,-57,-57,-57,-57,-58,-58,-59,-59,-60,-60,-62,-62,-63,-63,-63,-63,-63,-63,-64,-64,-64,-64,-64,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-66,-66,-66,-66,-66,-66,-66,-67,-67,-67,-68,-68,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,160.7603,164.57616,0
-52,-53,-53,-53,-53,-53,-56,-58,-58,-59,-61,-61,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-64,-64,-64,-64,-65,-65,-65,-65,-65,-66,-66,-66,-67,-68,-68,-68,-68,-68,-69,-69,-69,-69,-69,-69,-69,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-72,-72,-72,-72,-72,-72,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-74,-75,-75,-75,-75,156.77786,173.89334,0
